Question,Answer,Reference
"What are the current implicit entities in the codebase?","There are 9 implicit entities. **Persisted in MongoDB:** (1) Examples — user-contributed code examples for vars, (2) ExampleHistories — edit history snapshots of examples, (3) Notes — user-contributed prose notes for vars, (4) SeeAlsos — directional relationships between two vars, (5) Users — GitHub-authenticated accounts, (6) LegacyVarRedirects — old URL mappings from v1. **Derived at runtime:** (7) Library — hardcoded singleton representing clojure/clojure, (8) Vars — gathered from ns-publics on the running JVM at startup plus static special forms, (9) Namespaces — gathered from a static list of symbols. **Static file:** (10) DialectCompat — per-var dialect support sets loaded from dialect-compat.edn. Additionally, :namespaces, :libraries, :vars, and :migrate-users MongoDB collections are indexed but Claude did not find active queries against them in the current codebase — they appear vestigial.","src/clj/clojuredocs/data.clj (MongoDB queries); src/clj/clojuredocs/search.clj L77-120 (runtime var gathering); src/clj/clojuredocs/search/compat.clj (dialect data); src/clj/clojuredocs/main.clj L56-81 (all indexed collections)"
"How does data flow between these entities today?","Three flows: (1) **Startup flow:** The JVM loads Clojure namespaces from a static list (search/static.clj), calls ns-publics to gather var metadata, transforms it, and holds it in memory as clojure-lib. A Lucene in-memory search index is built from these vars. (2) **Request flow:** When a user visits a var page, the var is looked up in the in-memory index. Then examples, notes, and see-alsos are queried from MongoDB using the var's {ns, name, library-url} as filter keys. These are assembled into the page. (3) **Write flow:** Authenticated users POST/PATCH/DELETE examples, notes, and see-alsos via the API. Writes go directly to MongoDB. Example edits also create ExampleHistory records. (4) **Export flow:** Every 6 hours, run-export iterates all in-memory vars, queries their examples/notes/see-alsos from MongoDB, and writes a denormalized JSON file consumed by editor plugins (Calva, CIDER, etc.).","src/clj/clojuredocs/search.clj L112-120 (startup); src/clj/clojuredocs/pages/vars.clj L200-210 (request assembly); src/clj/clojuredocs/api/examples.clj (write); src/clj/clojuredocs/export.clj (export); docs/decisions.md (export schedule)"
"Where does this data come from?","(1) **Var metadata** comes from the running Clojure JVM — specifically clojure.lang.Var metadata via (meta (ns-publics ns)). Special forms are hardcoded in search/static.clj. (2) **User-contributed content** (examples, notes, see-alsos) comes from authenticated users via the web UI, stored in MongoDB. (3) **User identity** comes from GitHub OAuth — avatar URL, login, and account-source are extracted from the GitHub API response. (4) **Dialect compatibility** comes from a static EDN file (dialect-compat.edn) checked into the repo, generated externally. (5) **Namespace list** is hardcoded in search/static.clj — adding or removing a namespace requires a code change and deploy.","src/clj/clojuredocs/search.clj L77-90 (var meta from JVM); src/clj/clojuredocs/search/static.clj L3-39 (hardcoded ns list); src/clj/clojuredocs/pages/gh_auth.clj L10-12 (GitHub user mapping); src/clj/clojuredocs/search/compat.clj L7-9 (dialect EDN)"
"How is it stored currently?","Three storage mechanisms: (1) **MongoDB** (via congomongo/somnium) stores user-generated content in collections: :examples, :example-histories, :notes, :see-alsos, :users, :legacy-var-redirects. Connection configured via MONGO_URL env var. (2) **JVM heap** stores all var metadata, namespace metadata, library metadata, and the Lucene search index. Rebuilt every server restart. (3) **Static files** in the repo: dialect-compat.edn for dialect data, and the generated clojuredocs-export.json. User sessions are stored in encrypted cookies (cookie-store).","src/clj/clojuredocs/main.clj L39-41 (mongo connection); src/clj/clojuredocs/search.clj L112-140 (in-memory index); src/clj/clojuredocs/entry.clj L108-109 (cookie session store); src/clj/clojuredocs/search/compat.clj L7-9 (static EDN)"
"What parts of the data model are accessed most frequently and need to be fast?","(1) **Var lookup by ns/name** — every var page load and every search query hits this. Currently O(1) hash map lookup in memory (lookup-vars map in search.clj). (2) **Examples/notes/see-alsos by var** — every var page load queries all three from MongoDB filtered by {ns, name, library-url}. These are the most frequent MongoDB queries. Indexes exist for these fields. (3) **Search autocomplete** — Lucene in-memory index, queried on every keystroke. (4) **Recently updated feed** — homepage queries examples, see-alsos, and notes sorted by created-at descending, limited to 6.","src/clj/clojuredocs/search.clj L144-146 (var lookup map); src/clj/clojuredocs/data.clj L6-30 (per-var MongoDB queries); src/clj/clojuredocs/main.clj L57-75 (MongoDB indexes); src/clj/clojuredocs/pages/intro.clj L178-186 (recently updated queries)"
"How accessible is the data to people working on the app?","Moderately difficult. (1) Var metadata is only visible by evaluating search/clojure-lib at the REPL — there's no file you can read to see what attributes a var has. (2) MongoDB document shapes are defined implicitly by the schemas in api/common.clj, api/examples.clj, api/notes.clj, and api/see_alsos.clj — but these are Prismatic Schema validation schemas embedded in handler code, not a standalone model. (3) There is no entity-relationship documentation. (4) The dev page (pages/dev.clj) has a schema rendering system but the API docs section is commented out. (5) The data/import.clj file has a commented-out var-keys list that partially documents var attributes.","src/clj/clojuredocs/api/common.clj L9-12 (schemas); src/clj/clojuredocs/api/examples.clj L43-49 (InsertExample schema); src/clj/clojuredocs/pages/dev.clj L326-350 (disabled API docs); src/clj/clojuredocs/data/import.clj L5-20 (commented var-keys)"
"How accessible is the data for a random person who clones the app?","Low accessibility. (1) The public export JSON (clojuredocs-export.json) is gitignored and must be generated, which requires a running MongoDB instance with imported data. (2) Var metadata requires the JVM to load Clojure namespaces, so a REPL must be running. (3) The MongoDB connection is required for any user-contributed content — there is no seed data, fixture file, or SQLite fallback checked into the repo. (4) The dialect-compat.edn file is the only self-contained data artifact in the repo. (5) A new contributor must set up MongoDB, configure MONGO_URL, and either import production data or start with an empty database.","docs/decisions.md (export context); .gitignore L29 (export gitignored); src/clj/clojuredocs/main.clj L39-41 (mongo-url required); resources/dialect-compat.edn (only self-contained data)"
"What is the worst way to store the data?","This is a design judgment question, but the current model exhibits several anti-patterns worth naming: (1) **Denormalized var identity** — the full {ns, name, library-url} composite key is copied into every example, note, and see-also document rather than referenced. A var rename or library-url change requires updating every document. (2) **Mixed storage concerns** — the same logical entity (a var with its metadata + community contributions) is split across JVM heap and MongoDB with no explicit contract between them. (3) **Hardcoded single-library assumption** — library-url as a filter key in every query makes multi-library support a cross-cutting migration. (4) **Inconsistent deletion semantics** — soft-delete for examples, hard-delete for notes and see-alsos, with no documented rationale. The worst possible direction would be to add more storage mechanisms (e.g., a separate SQL database, a file-based cache) without first making the current model explicit.","src/clj/clojuredocs/api/examples.clj L43-49 (embedded var); src/clj/clojuredocs/data.clj L8-10 (library-url filter); src/clj/clojuredocs/api/notes.clj L61 (hard delete); src/clj/clojuredocs/api/examples.clj L107 (soft delete)"
"What is the most simple way to migrate and store data?","The simplest path preserves MongoDB and makes the implicit model explicit without changing storage technology. Steps: (1) Document the current entity-attribute model as-is — what exists in MongoDB, what exists in memory, what the relationships are. (2) Add a standalone schema file (EDN or Clojure spec) that defines each entity's attributes, making the implicit Prismatic schemas in api/*.clj the source of truth for the documented model. (3) Where the current model matches the vision, leave it alone. (4) Where gaps exist (e.g., no Library entity in MongoDB, no Var-to-Resource relationships), extend incrementally. The export JSON contract (consumed by Calva/CIDER) must be preserved or versioned. Avoid big-bang migration — the current data is small enough (hundreds of vars, thousands of examples) that schema evolution can happen incrementally.","src/clj/clojuredocs/api/common.clj (existing schemas); src/clj/clojuredocs/export.clj (export contract); docs/decisions.md L13 (export consumers)"
"What entities and attributes does the current vision require?","The 2026 vision (docs/2026vison.md) explicitly names these entity relationships: (1) **Var → Var** (see-also, enriched by co-occurrence), (2) **Var → Namespace → Library** (hierarchy navigation), (3) **Var → People** (author expertise visibility), (4) **Var → Source** (source code links for all libraries, not just core), (5) **Var → Usage** (real-world usage from open source codebases), (6) **Var → Tests** (cross-dialect test suites like jank-lang/clojure-test-suite), (7) **Var → Dialects** (which dialects support each var), (8) **Var → Resources** (blog posts, talks, threads). The vision also implies: verification status on examples, quality scoring, author reputation, freshness signals, and multi-library support as a first-class entity.","docs/2026vison.md (full vision); specifically the 'Docs as a graph, not pages' section for the Var→X relationships"
