# SUPERSEDED — source of truth is entity-attribute-model.edn. This CSV is STALE: it still carries uncorrected errors (errata #2 Namespace.library-url, #7 LegacyVarRedirect missing _id/library-url, #8 Var.type "special-form", #9 Var.no-doc; plus User.account-source is wrong — legacy "clojuredocs" users exist). It is retained ONLY for its GAP/envisioned rows (Resource, QualitySignal, Var.source-url, etc.), which have not yet been migrated to the EDN; they will be during the #43 vision pass, after which this file is retired. Do not treat the rows below as current. See docs/entity-attribute-model.md.
Entity,Attribute,Type,Required,Current Source,Description,Status,Gap Notes
Library,library-url,string,yes,JVM heap (hardcoded),GitHub repo URL — serves as identity. Currently only "https://github.com/clojure/clojure",exists,"Currently a hardcoded singleton in search.clj. Must become a first-class persisted entity to support multi-library documentation."
Library,version,string,yes,JVM heap (hardcoded),"Clojure version string, e.g. ""1.12.4""",exists,
Library,source-base-url,string,yes,JVM heap (hardcoded),Base URL for source code links,exists,
Library,gh-tag-url,string,yes,JVM heap (hardcoded),GitHub tag URL for the release,exists,
Namespace,name,string,yes,JVM heap (derived at startup),Fully qualified namespace name — serves as identity,exists,"Currently derived from a hardcoded vector in search/static.clj. Must become persisted to support multi-library."
Namespace,doc,string,no,JVM heap (derived at startup),Namespace docstring from ns metadata,exists,
Namespace,added,string,no,JVM heap (derived at startup),Version when namespace was added,exists,
Namespace,library-url,string (FK),yes,JVM heap (derived at startup),Which library this namespace belongs to,exists (implicit),"Currently all namespaces implicitly belong to the singleton clojure-lib. The FK is not stored — it's structural."
Var,ns,string,yes,JVM heap (derived from ns-publics),Namespace the var belongs to. Part of composite identity {ns name library-url},exists,
Var,name,string,yes,JVM heap (derived from ns-publics),Var name. Part of composite identity,exists,
Var,library-url,string (FK),yes,JVM heap (derived from ns-publics),Library this var belongs to. Part of composite identity,exists,
Var,doc,string,no,JVM heap (derived from ns-publics),Docstring,exists,
Var,arglists,list of strings,no,JVM heap (derived from ns-publics),Argument lists,exists,
Var,forms,list of strings,no,JVM heap (derived from ns-publics),Special form syntax patterns,exists,
Var,type,string,yes,JVM heap (derived),Computed: function / macro / special-form / var,exists,
Var,added,string,no,JVM heap (derived from ns-publics),Version when var was added,exists,
Var,deprecated,string/boolean,no,JVM heap (derived from ns-publics),Deprecation marker,exists,
Var,macro,boolean,no,JVM heap (derived from ns-publics),Whether var is a macro,exists,
