Entity,Source,Cardinality,Attribute,Type,Refs,Required,Coverage,Status,Verified,Description,Evidence / Gap notes
dialect-compat,edn-file,715 vars / 1880 var-dialect pairs,dialects,set,,yes,,exists,2026-06-09,"Set of dialect keywords, e.g. #{:bb :clj :cljs}","sidecar_repl.clj — (compat/dialects-for ""clojure.core"" ""map"")"
dialect-compat,edn-file,715 vars / 1880 var-dialect pairs,test-suite-url,string,,no,,gap,,URL to test suite that verified compatibility,vision: 2026vison.md — Verification pipeline
dialect-compat,edn-file,715 vars / 1880 var-dialect pairs,var-key,string,,yes,,exists,2026-06-09,"Qualified var name, e.g. ""clojure.core/map""","sidecar_repl.clj — (compat/dialects-for ""clojure.core"" ""map"")"
dialect-compat,edn-file,715 vars / 1880 var-dialect pairs,verified-at,instant,,no,,gap,,When compatibility was last verified,vision: 2026vison.md — Verification pipeline
dialect-compat,edn-file,715 vars / 1880 var-dialect pairs,version,string,,no,,gap,,Clojure version when compatibility was last verified,vision: 2026vison.md — Verification pipeline
example,mongodb,2671,_id,object-id,,yes,,exists,2026-06-09,MongoDB ObjectId,sidecar_repl.clj — examples key universe scan
example,mongodb,2671,author,ref,embedded-user,yes,,exists,2026-06-09,User who created the example,sidecar_repl.clj — examples key universe scan
example,mongodb,2671,body,string,,yes,,exists,2026-06-09,The example source code,sidecar_repl.clj — examples key universe scan
example,mongodb,2671,created-at,integer,,yes,,exists,2026-06-09,Unix epoch millis when created,sidecar_repl.clj — examples key universe scan
example,mongodb,2671,deleted-at,integer,,no,54/2671,exists,2026-06-09,Unix epoch millis when soft-deleted. nil for active examples.,sidecar_repl.clj — examples key universe scan
example,mongodb,2671,editors,vector,embedded-user,no,1708/2671,exists,2026-06-09,Users who have edited this example (may contain duplicates — see issue #65),sidecar_repl.clj — examples key universe scan
example,mongodb,2671,updated-at,integer,,yes,,exists,2026-06-09,Unix epoch millis when last updated,sidecar_repl.clj — examples key universe scan
example,mongodb,2671,var,ref,embedded-var,yes,,exists,2026-06-09,Which var this example is for,sidecar_repl.clj — examples key universe scan
example-history,mongodb,3358,_id,object-id,,yes,,exists,2026-06-09,MongoDB ObjectId,sidecar_repl.clj — example-histories key universe scan
example-history,mongodb,3358,body,string,,yes,,exists,2026-06-09,The NEW body after edit (not the old body — see issue for bug),sidecar_repl.clj — example-histories key universe scan
example-history,mongodb,3358,created-at,integer,,yes,,exists,2026-06-09,Unix epoch millis when this edit occurred,sidecar_repl.clj — example-histories key universe scan
example-history,mongodb,3358,editor,ref,embedded-user,yes,,exists,2026-06-09,User who made this edit,sidecar_repl.clj — example-histories key universe scan
example-history,mongodb,3358,example-id,object-id,,yes,,exists,2026-06-09,ObjectId of the example this history entry belongs to,sidecar_repl.clj — example-histories key universe scan
legacy-var-redirect,mongodb,1654,_id,object-id,,yes,,exists,2026-06-09,MongoDB ObjectId,sidecar_repl.clj — legacy-var-redirects key universe scan
legacy-var-redirect,mongodb,1654,function-id,integer,,yes,,exists,2026-06-09,Legacy numeric function ID,sidecar_repl.clj — legacy-var-redirects key universe scan
legacy-var-redirect,mongodb,1654,library-url,string,,yes,,exists,2026-06-09,Library GitHub URL,sidecar_repl.clj — legacy-var-redirects key universe scan
legacy-var-redirect,mongodb,1654,name,string,,yes,,exists,2026-06-09,Var name,sidecar_repl.clj — legacy-var-redirects key universe scan
legacy-var-redirect,mongodb,1654,ns,string,,yes,,exists,2026-06-09,Namespace name,sidecar_repl.clj — legacy-var-redirects key universe scan
library,jvm-heap,1,gh-tag-url,string,,yes,,exists,2026-06-09,GitHub tag URL for the release,sidecar_repl.clj — (dissoc search/clojure-lib :vars :namespaces)
library,jvm-heap,1,library-url,string,,yes,,exists,2026-06-09,GitHub repo URL,sidecar_repl.clj — (dissoc search/clojure-lib :vars :namespaces)
library,jvm-heap,1,namespaces,vector,namespace,yes,,exists,2026-06-09,"Vector of namespace maps (38 entries). Implicitly a ref to :namespace (PR #57 review, @puredanger).",sidecar_repl.clj — (count (:namespaces search/clojure-lib))
library,jvm-heap,1,source-base-url,string,,yes,,exists,2026-06-09,GitHub blob URL prefix for source links,sidecar_repl.clj — (dissoc search/clojure-lib :vars :namespaces)
